iter	RMSE
0	975228.6805
1	958434.8351
2	941408.9611
3	925669.1343
4	913491.6533
5	896825.5458
6	881031.1912
7	863978.9122
8	849152.0112
9	832611.9355
10	817080.6518
11	799653.3789
12	787440.1791
13	773056.5727
14	757861.368
15	744359.0932
16	732071.7044
17	718753.9746
18	706272.147
19	693727.7606
20	679859.3003
21	667829.8584
22	657380.631
23	647120.1867
24	635916.0687
25	625083.0628
26	613984.7398
27	603473.0127
28	595351.1164
29	586012.6524
30	576606.1423
31	567486.5289
32	558930.4256
33	550475.9293
34	541775.9549
35	533168.4675
36	524269.827
37	515623.5481
38	507136.9567
39	499665.2723
40	491470.2438
41	483711.7257
42	475208.7437
43	468487.9273
44	461922.2931
45	455054.9159
46	448374.9975
47	441495.0149
48	434713.3997
49	427335.8449
50	420325.9965
51	414328.83
52	408829.0577
53	403089.5451
54	396961.5243
55	392106.7834
56	386566.3835
57	380599.3615
58	376051.7815
59	371090.7172
60	366472.9896
61	361457.6451
62	356758.1956
63	352254.8955
64	348378.6684
65	344387.2669
66	339640.4408
67	335165.3215
68	330202.9832
69	326672.2463
70	322335.5209
71	318108.2852
72	315249.6017
73	311114.6223
74	307296.6318
75	304216.5354
76	300880.1765
77	296691.4287
78	294261.6327
79	291303.265
80	288043.6066
81	284212.9182
82	281386.3137
83	278214.454
84	274715.7969
85	272115.164
86	268827.4133
87	265902.6937
88	262752.7818
89	260076.7512
90	256731.7635
91	253475.8884
92	250549.0226
93	247638.874
94	245075.209
95	243141.4574
96	240427.2672
97	237927.0292
98	235500.3411
99	232935.4384
100	230903.1583
101	228742.7502
102	226526.7335
103	224147.4391
104	222433.685
105	220711.8343
106	218514.6466
107	216044.735
108	213979.8875
109	211883.3355
110	209993.8795
111	208223.5361
112	206310.2462
113	204929.4887
114	202784.52
115	201245.3921
116	199463.7817
117	198092.7972
118	197000.4197
119	195751.5182
120	194414.7931
121	193104.3728
122	191314.3261
123	189994.3482
124	188662.6566
125	187076.0082
126	185579.0687
127	184304.2952
128	182419.4878
129	180691.3822
130	178779.4344
131	177593.7458
132	176704.5341
133	175296.3857
134	173900.2031
135	172321.0837
136	171421.3957
137	169906.9742
138	169356.3824
139	167904.7034
140	166837.7045
141	166506.568
142	165928.36
143	164424.5217
144	164095.3995
145	162764.703
146	161689.7501
147	160764.2448
148	159364.4173
149	157936.6881
150	157542.0039
151	157005.9222
152	156566.2976
153	155823.6549
154	155474.2243
155	154986.1852
156	153692.2425
157	152507.6901
158	151930.1771
159	151492.5127
160	150891.0547
161	149818.3587
162	148948.6009
163	148335.4204
164	147861.8945
165	147536.0731
166	147189.8302
167	146300.7795
168	145421.9622
169	144218.4832
170	143631.7832
171	142595.8547
172	142265.6286
173	141082.7946
174	139874.366
175	139334.7092
176	138178.9922
177	137292.0911
178	136694.6977
179	136195.739
180	135204.0543
181	134131.8145
182	133533.0458
183	133056.6305
184	132474.8788
185	131316.2779
186	130047.9896
187	128972.8522
188	128438.4057
189	127894.0713
190	127257.541
191	126792.7556
192	125714.8814
193	125436.9124
194	124684.2145
195	124147.6222
196	123621.7753
197	123067.2387
198	122221.0652
199	121841.8676
200	121300.0147
201	120566.0899
202	120023.5712
203	119662.0881
204	119256.1889
205	118804.7272
206	118451.0695
207	118054.8041
208	117609.1793
209	117104.6338
210	116674.4191
211	116222.3972
212	115581.9249
213	115151.9032
214	114856.5919
215	113904.9777
216	113417.9052
217	112498.4815
218	111999.0394
219	111496.8886
220	111302.5749
221	110875.0633
222	110550.2763
223	110117.9773
224	109572.6954
225	108427.3539
226	107596.9036
227	106615.3743
228	106190.2549
229	105867.7041
230	105431.3429
231	104972.3951
232	104056.5652
233	103577.8855
234	103197.3519
235	102619.6629
236	102172.4425
237	101777.8475
238	100997.9348
239	100547.2508
240	100103.8967
241	99697.49021
242	99176.43286
243	98800.54764
244	98388.57159
245	97544.03644
246	97206.67438
247	96826.11697
248	96458.69873
249	96109.87988
250	95719.85209
251	95351.08084
252	94450.21557
253	94118.19284
254	93798.07449
255	93486.29711
256	93144.27952
257	92877.26888
258	92613.61433
259	92193.1611
260	91877.59088
261	91519.49363
262	91247.63405
263	90946.01804
264	90661.0351
265	89817.53495
266	89504.38917
267	89216.97552
268	88914.74278
269	88576.25689
270	88267.90517
271	87455.05966
272	87146.52058
273	86907.3004
274	86624.17101
275	86390.30221
276	86121.91244
277	85753.50033
278	85389.79754
279	85117.85239
280	84329.23358
281	84064.01047
282	83818.53959
283	83546.22671
284	83287.34735
285	82583.45947
286	82296.5035
287	82042.81029
288	81710.94388
289	81461.87188
290	81220.03779
291	80975.83841
292	80733.63928
293	80492.88164
294	79934.28839
295	79578.27426
296	78809.45908
297	78566.57235
298	78335.77159
299	78093.89556
300	77861.54156
301	77638.68578
302	77333.97746
303	76601.65486
304	76182.0995
305	75963.52174
306	75734.34272
307	75508.40906
308	75295.78145
309	75084.6718
310	74318.28695
311	73907.60149
312	73702.38448
313	73486.73898
314	72802.5254
315	72453.56691
316	72252.38735
317	71774.46543
318	71576.41361
319	71382.13366
320	70757.90438
321	70564.93751
322	70042.28225
323	69619.84234
324	69429.13619
325	69100.11435
326	68913.94191
327	68718.33531
328	68153.71013
329	67970.57666
330	67537.88406
331	67096.88203
332	66905.3334
333	66727.42827
334	66551.04517
335	65883.80755
336	65553.17848
337	65368.17793
338	65195.47346
339	64727.57481
340	64557.14674
341	64020.04439
342	63841.46772
343	63484.14976
344	63098.69032
345	62799.54038
346	62624.75723
347	62462.13004
348	62299.53298
349	61927.66887
350	61757.02625
351	61417.90533
352	61025.60349
353	60867.35598
354	60262.6093
355	60126.48264
356	59991.6
357	59845.50368
358	59466.88585
359	59322.53037
360	59191.95937
361	58607.62505
362	58466.55808
363	58126.55445
364	57986.92545
365	57485.35403
366	57349.16914
367	56864.28887
