iter	Passed	Remaining
0	48	48184
1	48	24373
2	49	16329
3	49	12398
4	50	10016
5	50	8378
6	50	7206
7	50	6323
8	51	5638
9	51	5091
10	52	4746
11	53	4386
12	53	4066
13	54	3807
14	54	3582
15	54	3369
16	55	3180
17	55	3051
18	56	2912
19	56	2788
20	57	2664
21	57	2572
22	58	2478
23	58	2393
24	59	2303
25	59	2222
26	60	2173
27	60	2101
28	60	2033
29	61	1991
30	61	1932
31	62	1877
32	62	1824
33	63	1799
34	63	1752
35	64	1723
36	64	1686
37	65	1646
38	65	1608
39	66	1589
40	66	1553
41	67	1531
42	67	1499
43	68	1481
44	68	1451
45	69	1432
46	69	1405
47	69	1380
48	69	1354
49	70	1330
50	70	1307
51	70	1284
52	71	1283
53	72	1262
54	72	1242
55	72	1223
56	72	1204
57	73	1186
58	73	1168
59	73	1151
60	73	1135
61	74	1119
62	74	1104
63	74	1089
64	74	1074
65	74	1060
66	75	1046
67	75	1033
68	75	1021
69	75	1008
70	76	996
71	76	984
72	76	973
73	76	961
74	77	950
75	77	940
76	77	929
77	77	919
78	78	911
79	78	902
80	78	893
81	79	884
82	79	875
83	80	879
84	80	871
85	81	862
86	81	854
87	81	846
88	81	838
89	82	830
90	82	822
91	82	814
92	82	807
93	83	804
94	83	797
95	84	791
96	84	784
97	84	777
98	84	771
99	84	764
100	85	758
101	85	752
102	85	746
103	85	740
104	86	733
105	86	727
106	86	721
107	86	716
108	86	710
109	87	705
110	87	699
111	87	694
112	87	689
113	88	684
114	88	679
115	88	674
116	88	669
117	88	664
118	89	660
119	89	655
120	89	651
121	89	646
122	90	642
123	90	637
124	90	633
125	90	629
126	90	625
127	91	621
128	91	617
129	91	613
130	91	609
131	92	605
132	92	601
133	92	597
134	92	594
135	93	591
136	93	591
137	94	588
138	94	584
139	94	581
140	94	578
141	95	574
142	95	571
143	95	567
144	95	564
145	95	561
146	96	558
147	96	555
148	96	552
149	96	549
150	97	546
151	97	543
152	97	540
153	97	537
154	98	534
155	98	531
156	98	528
157	98	526
158	98	523
159	99	520
160	99	517
161	99	515
162	99	512
163	100	510
164	100	507
165	100	505
166	100	502
167	101	500
168	101	497
169	101	495
170	101	492
171	101	490
172	102	488
173	102	486
174	102	483
175	102	481
176	103	479
177	103	477
178	103	475
179	103	473
180	104	470
181	104	468
182	104	466
183	104	464
184	104	462
185	105	460
186	105	458
187	105	456
188	105	454
189	106	452
190	106	450
191	106	448
192	106	446
193	107	444
194	107	442
195	107	441
196	107	439
197	108	438
198	108	436
199	108	434
200	108	432
201	109	431
202	109	429
203	109	427
204	109	425
205	110	424
206	110	422
207	110	420
208	110	419
209	110	417
210	111	415
211	111	413
212	111	412
213	111	410
214	112	409
215	112	407
216	112	405
217	112	404
218	112	402
219	113	401
220	113	399
221	113	397
222	113	396
223	113	394
224	114	393
225	114	391
226	114	390
227	114	388
228	115	387
229	115	386
230	115	384
231	115	383
232	115	381
233	116	380
234	116	378
235	116	377
236	116	376
237	117	374
238	117	373
239	117	372
240	117	370
241	117	369
242	118	368
243	118	366
244	118	365
245	118	364
246	119	362
247	119	361
248	119	360
249	119	359
250	119	357
251	120	356
252	120	355
253	120	354
254	120	352
255	121	351
256	121	350
257	121	349
258	121	348
259	122	347
260	122	346
261	122	345
262	122	344
263	123	342
264	123	341
265	123	340
266	123	339
267	123	338
268	124	337
269	124	336
270	124	335
271	124	334
272	125	332
273	125	331
274	125	330
275	125	329
276	125	328
277	126	327
278	126	326
279	126	325
280	126	324
281	127	323
282	127	322
283	127	321
284	127	320
285	127	319
286	128	318
287	128	317
288	128	316
289	128	315
290	129	314
291	129	313
292	129	312
293	129	311
294	129	310
295	130	309
296	130	308
297	130	307
298	130	306
299	130	305
300	131	304
301	131	303
302	131	302
303	131	301
304	132	300
305	132	300
306	132	299
307	132	298
308	132	297
309	133	296
310	133	295
311	133	294
312	133	293
313	134	292
314	134	292
315	134	291
316	134	290
317	134	289
318	135	288
319	135	287
320	135	286
321	135	286
322	136	285
323	136	284
324	136	283
325	136	283
326	137	282
327	137	281
328	137	280
329	138	280
330	138	279
331	138	278
332	138	277
333	138	276
334	139	276
335	139	275
336	139	274
337	139	273
338	139	272
339	140	272
340	140	271
341	140	270
342	140	269
343	141	269
344	141	268
345	141	267
346	141	266
347	141	266
348	142	265
349	142	264
350	142	263
351	142	262
352	143	262
353	143	261
354	143	260
355	143	260
356	143	259
357	144	258
358	144	257
359	144	257
360	144	256
361	145	255
362	145	254
363	145	254
364	145	253
365	145	252
366	146	252
367	146	251
368	146	250
369	146	249
370	147	249
371	147	248
372	147	247
373	147	247
374	147	246
375	148	245
376	148	245
377	148	244
378	148	243
379	149	243
380	149	242
381	149	241
382	149	241
383	150	240
384	150	240
385	150	239
386	150	238
387	151	238
388	151	237
389	151	237
390	153	238
391	153	237
392	153	237
393	153	236
394	154	236
395	154	235
396	154	234
397	154	234
398	155	233
399	155	233
400	155	232
401	155	231
402	156	231
403	156	230
404	156	229
405	156	229
406	157	228
407	157	228
408	157	227
409	157	226
410	157	226
411	158	225
412	158	225
413	158	224
414	158	223
415	159	223
416	159	222
417	159	222
418	159	221
419	160	220
420	160	220
421	160	219
422	160	219
423	161	218
424	161	218
425	161	217
426	161	217
427	162	216
428	162	215
429	162	215
430	162	214
431	162	214
432	163	213
433	163	213
434	163	212
435	163	212
436	165	213
437	166	213
438	167	213
439	167	213
440	167	212
441	167	211
442	168	211
443	168	210
444	168	210
445	168	209
446	168	209
447	169	208
448	169	207
449	169	207
450	169	206
451	170	206
452	170	205
453	170	205
454	170	204
455	171	204
456	171	203
457	171	202
458	171	202
459	171	201
460	172	201
461	172	200
462	172	200
463	172	199
464	173	199
465	173	198
466	173	198
467	173	197
468	173	196
469	174	196
470	174	195
471	174	195
472	174	194
473	175	194
474	175	193
475	175	193
476	175	192
477	175	192
478	176	191
479	176	191
480	176	190
481	176	190
482	177	189
483	177	189
484	177	188
485	177	188
486	178	187
487	178	187
488	178	186
489	178	186
490	178	185
491	179	185
492	179	184
493	179	184
494	180	183
495	180	183
496	180	182
497	180	182
498	181	182
499	181	181
500	181	181
501	181	180
502	182	180
503	182	179
504	182	179
505	182	178
506	183	178
507	183	177
508	183	177
509	184	176
510	184	176
511	184	175
512	184	175
513	185	175
514	185	174
515	185	174
516	185	173
517	186	173
518	186	172
519	186	172
520	186	171
521	186	171
522	187	170
523	187	170
524	187	169
525	187	169
526	188	168
527	188	168
528	188	167
529	188	167
530	189	166
531	189	166
532	189	165
533	189	165
534	189	165
535	190	164
536	190	164
537	190	163
538	190	163
539	190	162
540	191	162
541	191	161
542	191	161
543	191	160
544	192	160
545	192	159
546	192	159
547	192	158
548	193	158
549	193	158
550	193	157
551	193	157
552	194	156
553	194	156
554	194	155
555	194	155
556	195	155
557	195	154
558	195	154
559	195	153
560	195	153
561	196	152
562	196	152
563	196	152
564	196	151
565	197	151
566	197	150
567	197	150
568	197	149
569	197	149
570	198	148
571	198	148
572	198	148
573	198	147
574	199	147
575	199	146
576	199	146
577	199	145
578	199	145
579	200	144
580	200	144
581	200	144
582	200	143
583	201	143
584	201	142
585	201	142
586	201	141
587	201	141
588	202	141
589	202	140
590	202	140
591	202	139
592	203	139
593	203	138
594	203	138
595	203	138
596	204	137
597	204	137
598	204	136
599	204	136
600	204	136
601	205	135
602	205	135
603	205	134
604	205	134
605	206	133
606	206	133
607	206	133
608	206	132
609	206	132
610	207	131
611	207	131
612	207	131
613	207	130
614	208	130
615	208	129
616	208	129
617	209	129
618	209	128
619	209	128
620	209	128
621	210	127
622	210	127
623	210	126
624	210	126
625	210	126
626	211	125
627	211	125
628	211	124
629	211	124
630	212	124
631	212	123
632	212	123
633	212	122
634	212	122
635	213	121
636	213	121
637	213	121
638	213	120
639	214	120
640	214	119
641	214	119
642	214	119
643	214	118
644	215	118
645	215	118
646	215	117
647	215	117
648	216	116
649	216	116
650	216	116
651	216	115
652	216	115
653	217	114
654	217	114
655	217	114
656	218	113
657	218	113
658	218	113
659	219	112
